date,value
31/3/1992,1.5
30/6/1992,2.4
30/9/1992,1.6
31/12/1992,1.7
31/3/1993,1.2
30/6/1993,2.4
30/9/1993,1.5
31/12/1993,1.7
31/3/1994,1.4
30/6/1994,2.2
30/9/1994,1.4
31/12/1994,1.9
31/3/1995,1.5
30/6/1995,2.5
30/9/1995,1.2
31/12/1995,1.8
31/3/1996,1.5
30/6/1996,2.4
30/9/1996,1.1
31/12/1996,1.6
31/3/1997,1.2
30/6/1997,1.9
30/9/1997,1
31/12/1997,1.6
31/3/1998,1.4
30/6/1998,2.5
30/9/1998,2.5
31/12/1998,3.6
31/3/1999,2.6
30/6/1999,3.6
30/9/1999,2.4
31/12/1999,2.6
31/3/2000,2.3
30/6/2000,4.4
30/9/2000,1.6
31/12/2000,2.4
31/3/2001,1.6
30/6/2001,2.7
30/9/2001,2.4
31/12/2001,3.9
31/3/2002,3
30/6/2002,4.2
30/9/2002,3.1
31/12/2002,3.9
31/3/2003,3.2
30/6/2003,4.5
30/9/2003,4.1
31/12/2003,4
31/3/2004,3.2
30/6/2004,4.4
30/9/2004,2.6
31/12/2004,3.2
31/3/2005,2.8
30/6/2005,4.2
30/9/2005,2.9
31/12/2005,2.6
31/3/2006,2.2
30/6/2006,3.4
30/9/2006,2.4
31/12/2006,2.6
31/3/2007,2.5
30/6/2007,2.9
30/9/2007,1.5
31/12/2007,1.6
31/3/2008,1.8
30/6/2008,2.8
30/9/2008,1.9
31/12/2008,2.4
31/3/2009,3
30/6/2009,4.1
30/9/2009,2.9
31/12/2009,2.1
31/3/2010,2.1
30/6/2010,2.8
30/9/2010,1.8
31/12/2010,2
31/3/2011,1.8
30/6/2011,2.7
30/9/2011,1.8
31/12/2011,1.8
31/3/2012,1.9
30/6/2012,2.6
30/9/2012,1.7
31/12/2012,1.6
31/3/2013,1.8
30/6/2013,2.6
30/9/2013,1.6
31/12/2013,1.6
31/3/2014,1.9
30/6/2014,2.6
30/9/2014,1.7
31/12/2014,1.6
31/3/2015,1.7
30/6/2015,2.6
30/9/2015,1.7
31/12/2015,1.6
31/3/2016,1.8
30/6/2016,2.8
30/9/2016,1.8
31/12/2016,1.9
31/3/2017,2.1
30/6/2017,2.9
30/9/2017,1.9
31/12/2017,1.8
31/3/2018,1.9
30/6/2018,2.7
30/9/2018,1.9
31/12/2018,1.9
31/3/2019,2
30/6/2019,3
30/9/2019,2
31/12/2019,2
31/3/2020,2.2
30/6/2020,3.8
30/9/2020,3.2
31/12/2020,2.8
31/3/2021,2.6
30/6/2021,3.5
